,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(HC_conf_low).18,2.0196306122115715,0.07310097854992073,1.878185506583297,1.9699234153001202,2.0189785590842297,2.0687644774436933,2.1660465956737225,0.0010663681402646365
a_subj(HC_conf_low).19,2.684722062197576,0.10096709124405809,2.494416405434613,2.6147499470550866,2.6833371346840735,2.7520913788359898,2.8897245150176,0.0015434847674551048
a_subj(HC_conf_low).23,1.5032595229711523,0.05765007929470132,1.3953307072846464,1.46281857833645,1.5024283693427642,1.541608208141057,1.6201006145236792,0.0009283518319357827
a_subj(HC_conf_low).25,2.4385723000936,0.09033026976201085,2.271112552763574,2.3776893739089915,2.4362256467918484,2.4992636268674038,2.6217391907003567,0.001381460495888049
a_subj(HC_conf_low).26,2.3478413701094243,0.0863880900537143,2.1831826178964406,2.288458519216068,2.346577098452412,2.4052522590948775,2.5214693695763275,0.0012566899645444225
a_subj(HC_conf_low).29,2.4656442137982997,0.08651834161133555,2.301737282650162,2.405518392627429,2.4637787267045637,2.5232927251758164,2.6412563910407467,0.0010241768954335263
a_subj(HC_conf_low).30,1.9289082203853958,0.07551765044333132,1.7867079673163309,1.8780387699234784,1.927203769140847,1.9769573532574591,2.0837314589571188,0.0010294973171553739
a_subj(HC_conf_low).31,2.563098680613955,0.09526785697605099,2.38529672772073,2.496724031873671,2.5610274513362303,2.625843906180431,2.759577944776497,0.0013132696253135125
a_subj(HC_conf_low).32,2.9235616318886417,0.10894929221329099,2.7163373487649425,2.8476613579554457,2.920270444336289,2.9984996681793015,3.1426805123531696,0.0012917071695543946
a_subj(HC_conf_low).35,2.156339330537972,0.08636009531020761,1.9891180718820132,2.0975628394681167,2.1570095516466044,2.2137739933702,2.327481527466893,0.0013089540119273113
a_subj(HC_conf_low).36,3.2553212560611064,0.12253301258431296,3.016009182782848,3.170628873535546,3.2544737171763902,3.336539284037511,3.50142789206968,0.0017553785383477058
a_subj(HC_conf_low).37,2.175341425936912,0.08204229693690715,2.0190651010771674,2.1188963391654982,2.173342832392625,2.230300424926551,2.3419485270346776,0.0011626215632005701
a_subj(HC_conf_low).38,1.8842082920413796,0.07006799284550928,1.7518027829012461,1.8363898022355691,1.8827005081734565,1.929420146650432,2.0274093476588817,0.001005185952896809
a_subj(SSD_conf_high).0,2.600365814864904,0.1072464610233501,2.39461562907469,2.5268551330808773,2.5987531583512293,2.6730097749364923,2.811652898206558,0.0016830078511885806
a_subj(SSD_conf_high).3,2.9489044138077185,0.11062061894109979,2.7378709331977396,2.8725100424852714,2.9479851840906846,3.022459656257155,3.1707270909079854,0.00152292623611442
a_subj(SSD_conf_high).6,1.7170129038122832,0.07494171835452068,1.5774541267998936,1.6657468448629278,1.7145136373155971,1.7674345770076503,1.8707053648321783,0.0012777186759370474
a_subj(SSD_conf_high).7,2.2706042108343043,0.09320980967703169,2.0951868578519397,2.2060092170885897,2.268349594412396,2.3322269279605896,2.45890354590577,0.0012321895929129896
a_subj(SSD_conf_high).10,2.875292281216163,0.10632890846322679,2.674655358482152,2.80083865346408,2.8727557129816956,2.947106251596576,3.088534179001035,0.0013397991646476649
a_subj(SSD_conf_high).11,2.853364528493903,0.11444264977510224,2.6377958538183357,2.7764192112217656,2.8490382537382075,2.9304249534114497,3.0869814640608,0.0017591374213810677
a_subj(SSD_conf_high).13,1.422935825258166,0.05823919505426771,1.3131454486491247,1.3821552173581364,1.4218835790095747,1.462139624380497,1.5400605087909711,0.0010040004306516121
a_subj(SSD_conf_high).14,2.4924132734000217,0.11142117651622756,2.283880935724955,2.415387040051826,2.487507349186597,2.5659057408991512,2.7235717716432237,0.0015187311345081303
a_subj(SSD_conf_high).15,2.9678589935779662,0.11407556986597785,2.7507390315501397,2.889836505257817,2.965186650769974,3.044547931230854,3.2006822069827656,0.001416948837427805
a_subj(SSD_conf_high).17,2.8728285327050824,0.11140571991327551,2.661937556590338,2.7953464067354634,2.872049259120386,2.9480585605647556,3.0970786152197967,0.0014155859923038617
a_subj(SSD_conf_high).20,1.9898495286290214,0.08014533750350639,1.8371107195497989,1.9356847683614156,1.9896369161750667,2.0423207046779788,2.147822537837051,0.0011830446782154116
a_subj(SSD_conf_high).21,2.9634102825973825,0.11865626778717488,2.743115780225676,2.880093370183885,2.9606006149573476,3.043245924260841,3.2031431207400973,0.0018274799584330364
a_subj(SSD_conf_high).22,2.5724880136729653,0.1101770188867732,2.3631343136781333,2.4973492870642993,2.569781551843901,2.646134010582645,2.7906543855292423,0.0016770885345791526
a_subj(SSD_conf_high).24,2.030299902716901,0.08839650113099812,1.8567958436105865,1.9689756494251869,2.030724203477838,2.090754649206156,2.2072103363998488,0.0013714611463083559
a_subj(SSD_conf_high).27,2.4461412643039306,0.09017089507904061,2.2777965282565344,2.383536982195251,2.4456078480644923,2.5050204517034884,2.6294543153137155,0.0013301773685009059
a_subj(SSD_conf_high).28,3.0375013393549772,0.12971825600506795,2.791931736022834,2.9489785476571253,3.03348649386562,3.1230362433699073,3.2971415078983384,0.001996270426969434
a_subj(SSD_conf_high).33,2.165021745965868,0.08391414701217362,2.0016926524456644,2.1092036010944826,2.163397619454622,2.220094787289003,2.3352197676675295,0.0011846167288756793
a_subj(SSD_conf_high).34,2.8109767377301265,0.10673354623870115,2.6077915314274347,2.739457708980105,2.8102580648666615,2.8820342971006827,3.023140806777059,0.001561243338563352
a_subj(SSD_conf_high).39,2.6398750179502524,0.10645144473489172,2.4366982620255095,2.5676382914719067,2.6368467006774945,2.7099744955508456,2.8550925624055146,0.0015148646066001613
a_subj(SSD_conf_low).0,2.459020454083954,0.10331368626852919,2.2591874635250724,2.3884397969888145,2.458298348370418,2.530020180677024,2.6617194900212504,0.001605368741236062
a_subj(SSD_conf_low).3,3.031638032625419,0.11024752230960258,2.820018170248142,2.956444162568398,3.030508756329645,3.1057654805372166,3.248329937291208,0.001468801102844849
a_subj(SSD_conf_low).6,2.3463905178143345,0.09241235255371541,2.171440767945201,2.2848981269500745,2.344479965189121,2.407748040139529,2.535048598824824,0.0012547301498478849
a_subj(SSD_conf_low).7,2.5890086006032798,0.1050132862780319,2.391125724091922,2.516611209369346,2.585753313671437,2.6570401133062562,2.806913493597776,0.0015899305975100053
a_subj(SSD_conf_low).10,2.7565956375625147,0.10239301531419787,2.560184409849052,2.687593469632785,2.754518481773722,2.8238748969690404,2.963595076161382,0.0013410285689940795
a_subj(SSD_conf_low).11,2.895529301734122,0.11329996762559236,2.680462148938485,2.816968051493052,2.893127287066142,2.96920154354903,3.129336542201457,0.0015613929914929541
a_subj(SSD_conf_low).13,1.7496372445905368,0.0664958210669997,1.624407608705406,1.7030136595913985,1.7479334682267904,1.7947353531302777,1.882163703782766,0.0007699338106019885
a_subj(SSD_conf_low).14,2.9864985266315776,0.12494358326467045,2.758381459925373,2.897674548589166,2.980908037030113,3.067657532991517,3.246453444962878,0.0016791645096254561
a_subj(SSD_conf_low).15,2.618897010690047,0.09753573764695266,2.4349106631477517,2.5512833458161763,2.6167364880323607,2.6836177009829,2.815556681283837,0.001175619017475049
a_subj(SSD_conf_low).17,2.8666959973600616,0.11621688999997562,2.64452750102011,2.786154556885252,2.8643587222305573,2.945747187447622,3.1029479761801166,0.0015982331342443662
a_subj(SSD_conf_low).20,2.149070271348306,0.08096206203025662,1.9985615071272531,2.0912356505484957,2.146883176450862,2.2035411552924526,2.3095130682566953,0.001205023673299539
a_subj(SSD_conf_low).21,3.216695970858048,0.1267945827837161,2.9765053274654028,3.1304075293533185,3.2149861650403304,3.3020861700381974,3.472586051691027,0.0016583013222189074
a_subj(SSD_conf_low).22,2.4646655539518925,0.08744989574706803,2.299944477585962,2.4041890943968425,2.4634195143088524,2.5217838207148824,2.6457740692990437,0.0013128437148682483
