,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(a_high.HC).23,1.8202699234393354,0.06773078400216061,1.6939726803847754,1.7736806915931007,1.8186194746266662,1.8639496504508364,1.9583085231680792,0.0007824147844305324
a_subj(a_high.HC).25,1.53585414607479,0.07285958938261532,1.3967345107272016,1.4866167573367215,1.5331367436567247,1.5830201086609006,1.683124508582999,0.001024607852173439
a_subj(a_high.HC).26,2.2074078680062277,0.09377881591558658,2.0288130274626073,2.144115071755319,2.2042663388321735,2.269912286370543,2.3984731383794355,0.0012165618456799114
a_subj(a_high.HC).29,1.8607414349171842,0.07095770329394245,1.726639945100513,1.8123167510958618,1.858748510139191,1.9083469685135421,2.00319814242629,0.0009916005447291175
a_subj(a_high.HC).30,1.610923940283068,0.06584192369082488,1.4840457525362287,1.5660943822287907,1.6092486498121585,1.6536428876333975,1.7445485340310698,0.0011295827088270993
a_subj(a_high.HC).31,2.513155122019155,0.09633992163707616,2.335289872781711,2.4454588248689686,2.5093339864102644,2.5771746398757456,2.7107040468607506,0.0012812513960148697
a_subj(a_high.HC).32,2.476008231098878,0.09510064808219397,2.2970001424668283,2.411736692813708,2.4737332535995016,2.538794984227231,2.6653728171651867,0.0013692285357849762
a_subj(a_high.HC).35,2.1286646907101594,0.08324291948469816,1.9744704082340327,2.070896790892487,2.126848933084027,2.1848474822627533,2.296198803164728,0.0011748718828181956
a_subj(a_high.HC).36,2.227033017921023,0.0947709255203173,2.0497539307855015,2.1620637564223397,2.2241879379170197,2.288910520412135,2.423729216905949,0.0014125907347036022
a_subj(a_high.HC).37,1.8778719801828627,0.08005116603575986,1.7245564060454652,1.8234934654129682,1.8764618028183138,1.9304799568995603,2.040542170230645,0.001320275387512978
a_subj(a_high.HC).38,1.5256994792423697,0.06192546188370905,1.4074774911698338,1.4840353264719266,1.5246161394317497,1.5671493813401511,1.6504083066191333,0.0008021079115284408
a_subj(a_high.SSD).0,2.359433472429683,0.10887918153655564,2.141441902195532,2.286338325150176,2.3612065326163294,2.434266939274895,2.567970595202862,0.0017657302315108759
a_subj(a_high.SSD).3,2.823582954029536,0.10821590093604196,2.619982885503662,2.7498242343275865,2.821811271966762,2.894077427331004,3.0473474661197852,0.0015354888933231665
a_subj(a_high.SSD).6,1.6512403740287054,0.06720339645663496,1.524872775093423,1.605159527319197,1.6497639981277488,1.6949194999638229,1.788336419677135,0.0008432770698125874
a_subj(a_high.SSD).7,2.2328951975711533,0.09079683594707622,2.0646752241203203,2.1710410095517507,2.2279280701694613,2.292250066482797,2.4210479868457973,0.0014247997774294518
a_subj(a_high.SSD).10,2.7008205390974966,0.10532076534290179,2.495788853120083,2.6304333435323133,2.6990139126157553,2.769587072270168,2.9105056227756325,0.0015343652233660173
a_subj(a_high.SSD).11,2.4609029856324836,0.09826439905508431,2.273453014806212,2.392924586388335,2.458273909576367,2.525980596255404,2.6603515705524146,0.0015074479688413234
a_subj(a_high.SSD).13,1.5189513281227318,0.06539027951607206,1.3967470631947239,1.4738635656900465,1.5171042893975528,1.5614254948042159,1.6547241844005447,0.0010027824874854186
a_subj(a_high.SSD).14,2.469161462351178,0.11173159020687888,2.259849576098559,2.3918955420318637,2.4665090043592075,2.5438678644033885,2.6950179412154545,0.0015974074624687917
a_subj(a_high.SSD).15,2.519311552073019,0.10237234789443857,2.3289399238485307,2.4489348582903165,2.5163341617607022,2.5854433216387274,2.7345111731512355,0.0016019406318963179
